ID,x,y,z
16,43.9832137,-90.64229644,264.91739
19,43.98365843,-90.64337129,264.16039
17,43.98453922,-90.64361235,261.64839
7,43.98470894,-90.64413581,260.72639
8,43.98336148,-90.64378223,265.46339
34,43.98281163,-90.64346629,268.41339
18,43.98354425,-90.64275777,264.63639
36,43.98309383,-90.64304814,266.02139
37,43.98220573,-90.64231419,266.37939
31,43.98116385,-90.64154861,265.77839
12,43.98307836,-90.64159336,263.72439
11,43.98274144,-90.64046102,264.86639
4,43.98324842,-90.63955762,263.57639
5,43.98377873,-90.64009628,261.40839
